"MSB I.4 Commercial Banks: Deposits (excluding S$NCDs) of DBUs by Types of Non-bank Customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S$ MILLION"
"END OF PERIOD","TOTAL DEPOSITS - TOTAL","TOTAL DEPOSITS - IN S$","TOTAL DEPOSITS - IN FOREIGN CURRENCIES","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - TOTAL","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - SAVINGS AND OTHER DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - TOTAL","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - TOTAL","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - TOTAL","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS"
2019 Jan,636390.0,628992.9,7397.1,35968.7,5507.0,30316.9,144.9,0.0,0.0,0.0,62478.1,15895.6,45945.9,636.6,0.0,0.0,0.0,494486.4,125805.2,164649.0,204032.3,0.0,0.0,0.0,43456.7,14242.7,14622.9,14591.2,0.0,0.0,0.0
2019 Feb,642858.3,635619.2,7239.2,40413.9,4660.8,35616.1,137.1,0.0,0.0,0.0,61902.8,15265.5,45802.8,834.5,0.0,0.0,0.0,496851.0,126557.0,166049.7,204244.3,0.0,0.0,0.0,43690.6,14096.2,15232.7,14361.8,0.0,0.0,0.0
2019 Mar,652664.8,645431.8,7233.0,41339.6,6496.5,34683.1,160.0,0.0,0.0,0.0,61145.9,14956.3,45295.2,894.4,0.0,0.0,0.0,507182.5,129398.3,171501.0,206283.2,0.0,0.0,0.0,42996.9,13994.0,14663.8,14339.1,0.0,0.0,0.0
2019 Apr,658079.4,651040.7,7038.7,41221.8,5265.2,35821.0,135.7,0.0,0.0,0.0,64669.7,16600.5,47028.7,1040.5,0.0,0.0,0.0,508986.5,129083.4,173742.2,206160.9,0.0,0.0,0.0,43201.3,14868.6,14196.3,14136.4,0.0,0.0,0.0
2019 May,660815.2,653694.4,7120.7,42692.7,4210.1,38390.7,92.0,0.0,0.0,0.0,64924.3,14776.5,49129.7,1018.1,0.0,0.0,0.0,508935.6,129688.8,173569.7,205677.1,0.0,0.0,0.0,44262.5,15125.8,15057.1,14079.6,0.0,0.0,0.0
2019 Jun,664586.2,656816.7,7769.5,48788.4,8577.2,40082.5,128.6,0.0,0.0,0.0,65474.5,17699.6,46811.2,963.7,0.0,0.0,0.0,506003.0,127019.4,173259.6,205724.0,0.0,0.0,0.0,44320.4,14986.2,14971.4,14362.8,0.0,0.0,0.0
2019 Jul,666843.5,655666.6,11176.9,48526.0,5776.0,42539.7,210.3,0.0,0.0,0.0,62444.7,13467.1,48171.7,805.9,0.0,0.0,0.0,509101.0,128000.6,174288.8,206811.6,0.0,0.0,0.0,46771.8,14692.0,17587.5,14492.3,0.0,0.0,0.0
2019 Aug,672830.2,660048.2,12782.0,49395.4,5327.8,43910.6,157.0,0.0,0.0,0.0,63519.2,15010.1,47664.8,844.2,0.0,0.0,0.0,510953.7,129301.2,175421.9,206230.6,0.0,0.0,0.0,48961.9,15748.8,18720.1,14493.0,0.0,0.0,0.0
2019 Sep,674474.1,659578.1,14895.9,49345.2,3962.7,45281.6,100.9,0.0,0.0,0.0,64321.1,15320.1,48304.1,696.8,0.0,0.0,0.0,511788.4,127173.6,178675.9,205938.9,0.0,0.0,0.0,49019.4,14601.3,19827.6,14590.5,0.0,0.0,0.0
2019 Oct,676727.1,661252.2,15474.9,49711.1,5067.4,44516.7,127.0,0.0,0.0,0.0,62169.3,15712.1,45946.3,510.8,0.0,0.0,0.0,515082.4,128506.0,180187.6,206388.8,0.0,0.0,0.0,49764.3,14559.1,20408.9,14796.3,0.0,0.0,0.0
2019 Nov,682738.0,666261.3,16476.7,49242.5,4254.2,44901.5,86.8,0.0,0.0,0.0,64886.8,17968.5,46334.5,583.9,0.0,0.0,0.0,517527.1,130775.7,180464.0,206287.5,0.0,0.0,0.0,51081.6,15430.0,20768.6,14883.0,0.0,0.0,0.0
2019 Dec,683520.8,664801.9,18718.9,51485.2,7539.0,43834.6,111.6,0.0,0.0,0.0,62254.5,14826.9,46763.1,664.6,0.0,0.0,0.0,519104.2,130847.7,178180.4,210076.0,0.0,0.0,0.0,50676.9,14516.5,20930.0,15230.5,0.0,0.0,0.0
2020 Jan,693686.4,672117.9,21568.5,50612.9,5370.3,45113.4,129.2,0.0,0.0,0.0,65944.3,16049.7,49304.1,590.5,0.0,0.0,0.0,523637.1,131841.4,180379.3,211416.5,0.0,0.0,0.0,53492.1,14637.4,23892.5,14962.2,0.0,0.0,0.0
2020 Feb,700242.9,678322.2,21920.7,50088.2,4684.3,45339.4,64.5,0.0,0.0,0.0,64148.9,16578.6,46779.2,791.0,0.0,0.0,0.0,529587.4,133950.0,181970.4,213666.9,0.0,0.0,0.0,56418.5,15893.1,25081.1,15444.2,0.0,0.0,0.0
2020 Mar,715035.1,694087.4,20947.7,50320.0,7893.6,42320.8,105.6,0.0,0.0,0.0,64807.9,19574.8,44148.7,1084.5,0.0,0.0,0.0,541901.5,141709.1,181636.7,218555.7,0.0,0.0,0.0,58005.7,18054.5,23601.8,16349.4,0.0,0.0,0.0
2020 Apr,743564.9,716595.8,26969.1,51393.7,11953.0,39234.7,206.0,0.0,0.0,0.0,70051.8,18917.1,50397.3,737.3,0.0,0.0,0.0,559982.4,152225.5,181500.2,226256.8,0.0,0.0,0.0,62137.1,19796.2,25784.1,16556.8,0.0,0.0,0.0
2020 May,735782.2,710459.2,25323.0,45863.7,9762.3,35866.2,235.2,0.0,0.0,0.0,62460.1,19520.5,42189.0,750.6,0.0,0.0,0.0,565294.8,160792.9,173929.1,230572.7,0.0,0.0,0.0,62163.6,21581.6,23109.3,17472.7,0.0,0.0,0.0
2020 Jun,742815.1,718550.3,24264.8,46573.1,12016.9,34406.6,149.6,0.0,0.0,0.0,62473.2,22659.0,39291.6,522.6,0.0,0.0,0.0,571959.2,162162.3,175550.1,234246.8,0.0,0.0,0.0,61809.6,21073.0,22106.1,18630.5,0.0,0.0,0.0
2020 Jul,748661.2,724236.1,24425.1,47493.3,11416.5,35894.7,182.1,0.0,0.0,0.0,62025.4,22060.9,39240.4,724.0,0.0,0.0,0.0,578879.1,166568.2,174169.5,238141.3,0.0,0.0,0.0,60263.5,20390.2,20472.4,19400.9,0.0,0.0,0.0
2020 Aug,751885.3,724639.3,27246.0,48198.0,7648.8,40420.7,128.4,0.0,0.0,0.0,61545.5,24016.9,36906.3,622.2,0.0,0.0,0.0,579856.7,167522.6,173715.3,238618.7,0.0,0.0,0.0,62285.2,20609.1,21400.1,20275.9,0.0,0.0,0.0
2020 Sep,747813.3,722407.6,25405.7,46074.9,8870.5,37078.1,126.2,0.0,0.0,0.0,59248.1,23920.1,34307.0,1021.0,0.0,0.0,0.0,580616.4,167875.6,173617.6,239123.1,0.0,0.0,0.0,61874.0,20348.6,20964.0,20561.4,0.0,0.0,0.0
2020 Oct,759019.6,730524.3,28495.3,46608.9,9217.0,37159.3,232.6,0.0,0.0,0.0,60745.1,24912.2,34629.2,1203.7,0.0,0.0,0.0,589248.2,175969.0,171480.4,241798.7,0.0,0.0,0.0,62417.4,21553.0,20011.7,20852.7,0.0,0.0,0.0
2020 Nov,764126.2,734365.3,29760.9,46419.9,10044.8,36208.3,166.9,0.0,0.0,0.0,61862.3,26683.2,34003.6,1175.4,0.0,0.0,0.0,594077.5,178095.6,170625.3,245356.5,0.0,0.0,0.0,61766.6,21852.5,18728.7,21185.3,0.0,0.0,0.0
2020 Dec,763846.7,733980.0,29866.7,45056.7,7228.6,37718.2,109.9,0.0,0.0,0.0,58948.9,25181.5,32718.1,1049.3,0.0,0.0,0.0,598153.4,178768.5,168631.5,250753.4,0.0,0.0,0.0,61687.7,22152.8,17965.6,21569.4,0.0,0.0,0.0
2021 Jan,765250.5,736514.3,28736.1,46413.1,7352.1,38903.9,157.1,0.0,0.0,0.0,59676.6,26279.9,32216.8,1180.0,0.0,0.0,0.0,594903.6,178924.0,164409.2,251570.5,0.0,0.0,0.0,64257.1,24384.0,17664.0,22209.2,0.0,0.0,0.0
2021 Feb,762693.0,732884.0,29809.0,47390.3,7864.3,39404.8,121.3,0.0,0.0,0.0,58663.2,26442.4,30929.9,1290.8,0.0,0.0,0.0,593968.6,179040.6,161086.3,253841.7,0.0,0.0,0.0,62670.9,22200.4,17948.5,22522.0,0.0,0.0,0.0
2021 Mar,779638.3,745573.0,34065.3,46051.3,10578.4,35373.5,99.4,0.0,0.0,0.0,61211.4,29137.2,30912.5,1161.7,0.0,0.0,0.0,608041.8,185697.2,162188.8,260155.8,0.0,0.0,0.0,64333.9,22781.8,18733.4,22818.7,0.0,0.0,0.0
2021 Apr,778552.8,744118.2,34434.7,42749.5,6354.1,36295.0,100.4,0.0,0.0,0.0,63757.1,28664.7,33856.1,1236.2,0.0,0.0,0.0,608142.4,184562.1,161330.5,262249.8,0.0,0.0,0.0,63903.9,22854.3,18160.3,22889.3,0.0,0.0,0.0
2021 May,777580.8,742870.5,34710.3,43859.9,5945.2,37815.8,98.8,0.0,0.0,0.0,61663.5,28256.5,31999.6,1407.5,0.0,0.0,0.0,607302.1,186400.1,157348.0,263553.9,0.0,0.0,0.0,64755.3,22594.7,19160.2,23000.4,0.0,0.0,0.0
2021 Jun,778049.8,741968.2,36081.7,43084.6,7825.8,35122.7,136.0,0.0,0.0,0.0,55994.2,27550.8,26969.8,1473.6,0.0,0.0,0.0,613088.6,193494.5,153577.3,266016.8,0.0,0.0,0.0,65882.5,22665.8,19823.5,23393.2,0.0,0.0,0.0

The notes and footnotes for this table can be found on the online Monthly Statistical Bulletin database.
